$$MCTS$$CALL1     301E                 /02/2003 03:36:04
140784KHLU540292614.804310       SHAVAP---KHL    0......
140982KHLU540361915.304310       SHAVAP---KHL    0......
140582TTNU510900820.004310       SHAVAP---KHL    0......
140782KHLU944423620.004310       SHAVAP---KHL    0......
140384CAXU720868523.204310       SHAVAP---KHL    0......
140110GLDU093630425.204310       SHAVAP---KHL    0......
060202CLHU849135016.004510HC     HKGBLBCFZKHL    0......
060204WFHU501404818.004510HC     HKGBLBCFZKHL    0......
060206FSCU641169318.104510HC     HKGBLBCFZKHL    0......
060488KHJU840794113.004510HC     BSNBLBONXKHL    0......
060688CAXU968491014.204510HC     BSNBLBONXKHL    0......
060686TTNU922298515.804510HC     BSNBLBONXKHL    0......
060484TGHU758809019.004510HC     BSNBLBONXKHL    0......
060886GESU446565414.204510HC     SHABLBONXKHL    0......
060208CAXU492768529.804510HC     SHABLBONXKHL    0......
060884AMFU856435627.504510HC     SHABLBPTYKHL    0......
100886TGHU758282614.504510HC     BSNCLL---KHL    0......
101088TGHU770607015.304510HC     BSNCLL---KHL    0......
101086TRLU536740217.704510HC     BSNCLL---KHL    0......
